race_number,circle,division,class_name,place_class,place_overall,boat_name,sail_number,design,owner,rating,finish_status,finish_time_utc,elapsed_sec,corrected_sec,elapsed_hms,corrected_hms,finish_local,retire_reason
1,Around Long Island Course - Multihull,PHRF,Multihull (NEMA) Division M - Warning Signal 14:00,2,2,Three Little Birds,USA52985,PT11 Trimaran,Peter Malloy,,RET,,,,,,,
1,Around Long Island Course - Non-Spinnaker,PHRF,Non-Spinnaker Division 1 - Warning Signal 13:00,1,1,Dolcezza,53,Hunter Legend 37.5,Neill Parker Jr,150,AOK,2026-07-25T23:03:29.000Z,208709,177659,57:58:29,49:20:59,2026-07-25 23:03:29,
1,Around Long Island Course - Non-Spinnaker,PHRF,Non-Spinnaker Division 1 - Warning Signal 13:00,2,5,Cool Change,121,Hunter 39,James Sheed,144,AOK,2026-07-26T17:13:54.000Z,274134,244326,76:08:54,67:52:06,2026-07-26 17:13:54,
1,Around Long Island Course - Non-Spinnaker,PHRF,Non-Spinnaker Division 1 - Warning Signal 13:00,5,9,Java,279,Jeanneau 36.2 SO,Marc Grill,,RET,,,,,,,
1,Around Long Island Course - Non-Spinnaker,PHRF,Non-Spinnaker Division 1 - Warning Signal 13:00,5,9,Yopo,103,Contest,Artur Jasinski,,RET,,,,,,,
1,Around Long Island Course - Non-Spinnaker,PHRF,Non-Spinnaker Division 2 - Warning Signal 13:00,1,2,Shooting Star,USA20802,Peterson 34,David Kingsbury,117,AOK,2026-07-25T21:23:08.000Z,202688,178469,56:18:08,49:34:29,2026-07-25 21:23:08,
1,Around Long Island Course - Non-Spinnaker,PHRF,Non-Spinnaker Division 2 - Warning Signal 13:00,2,3,YES 4X,393,Beneteau Oceanis 46.1,Henryk Walerys,135,AOK,2026-07-26T00:23:50.000Z,213530,185585,59:18:50,51:33:05,2026-07-26 00:23:50,
1,Around Long Island Course - Non-Spinnaker,PHRF,Non-Spinnaker Division 2 - Warning Signal 13:00,3,4,Palomino,USA61107,C&C 37,Eugenio Silvestrini,129,AOK,2026-07-26T00:03:27.000Z,212307,185604,58:58:27,51:33:24,2026-07-26 00:03:27,
1,Around Long Island Course - Non-Spinnaker,PHRF,Non-Spinnaker Division 2 - Warning Signal 13:00,4,6,Veronique,60141,Beneteau first 345,Bert Rubin de Cervens,135,AOK,2026-07-26T17:13:14.000Z,274094,246149,76:08:14,68:22:29,2026-07-26 17:13:14,
1,Around Long Island Course - Spinnaker,ORC,ORC Division 0 - Warning Signal 13:40,1,1,Habiru YCC,USA61124,J 121,Steve Losik,0.9597,AOK,2026-07-25T07:22:21.000Z,149841,143802,41:37:21,39:56:42,2026-07-25 07:22:21,
