race_number,circle,division,class_name,place_class,place_overall,boat_name,sail_number,design,owner,rating,finish_status,finish_time_utc,elapsed_sec,corrected_sec,elapsed_hms,corrected_hms,finish_local,retire_reason
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division 5 - Warning Signal 11:30,4,26,Random,USA51362,Sabre 362,Robert Millstein,126,AOK,2025-07-26T03:39:08.000Z,144248,118166,40:04:08,32:49:26,2025-07-26 03:39:08,
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division 5 - Warning Signal 11:30,5,29,Swell,USA60109,BENETEAU 40,Robert Purcell,129,AOK,2025-07-26T06:37:50.000Z,154970,128267,43:02:50,35:37:47,2025-07-26 06:37:50,
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division 5 - Warning Signal 11:30,6,30,Dark Star,262,Ericson 38-200,Dave Doles,123,AOK,2025-07-26T06:45:30.000Z,155430,129969,43:10:30,36:06:09,2025-07-26 06:45:30,
1,Around Long Island Course - Spinnaker,PHRF,Double-Handed Division 7 - Warning Signal 11:40,2,,Ricky Bobby,60570,Elan GT5,Peter Wolf,,RET,,,,,,,
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division 9 - Warning Signal 11:50,1,2,Phantom,USA444,J/105,Max Hafen,87,AOK,2025-07-25T20:02:10.000Z,115630,97621,32:07:10,27:07:01,2025-07-25 20:02:10,
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division 9 - Warning Signal 11:50,2,7,Little Texas YCC,USA169,J105 SD,Cormac Murphy,93,AOK,2025-07-25T21:08:49.000Z,119629,100378,33:13:49,27:52:58,2025-07-25 21:08:49,
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division 9 - Warning Signal 11:50,3,9,Sanguine,USA100,J/100,Steve Landy / Derek Soohoo,87,AOK,2025-07-25T21:04:51.000Z,119391,101382,33:09:51,28:09:42,2025-07-25 21:04:51,
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division 9 - Warning Signal 11:50,4,16,Windancer,USA25,J 37,Kenneth Horvath,72,AOK,2025-07-25T21:59:39.000Z,122679,107775,34:04:39,29:56:15,2025-07-25 21:59:39,
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division 9 - Warning Signal 11:50,5,17,Bay Retriever,CAN15,J 99,Kevin Sherwood,72,AOK,2025-07-25T22:14:25.000Z,123565,108661,34:19:25,30:11:01,2025-07-25 22:14:25,
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division 9 - Warning Signal 11:50,6,18,Pegasus,USA93367,Beneteau First 36.7,Eric Weintraub,81,AOK,2025-07-25T22:48:57.000Z,125637,108870,34:53:57,30:14:30,2025-07-25 22:48:57,
